
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.588030E+00 -1.595307E-11 -7.976660E-11
        66  1.588030E+00  1.595318E-11 -7.976490E-11
        67  1.588030E+00  1.595322E-11  7.976571E-11
        68  1.588030E+00 -1.595317E-11  7.976628E-11

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-02  4.825626E-04  9.651252E-05
        66  1.000000E-02 -4.825626E-04  9.651252E-05
        67  1.000000E-02 -4.825626E-04 -9.651252E-05
        68  1.000000E-02  4.825626E-04 -9.651252E-05

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

         8   3  5.079106E-04 -1.930029E-04 -1.930077E-04 -1.903361E-09 -1.440083E-10 -2.307719E-20
         8   4  5.079106E-04 -1.930048E-04 -1.930069E-04 -1.903361E-09 -1.440083E-10  6.086875E-21
         8   5  5.079106E-04 -1.930029E-04 -1.930077E-04  1.903361E-09  1.440083E-10 -9.738999E-20
         8   6  5.079106E-04 -1.930048E-04 -1.930069E-04  1.903361E-09  1.440083E-10 -3.281619E-20
         8   7  5.079106E-04 -1.930029E-04 -1.930077E-04 -1.903361E-09  1.440083E-10  4.234349E-21
         8   8  5.079106E-04 -1.930048E-04 -1.930069E-04 -1.903361E-09  1.440083E-10  4.255519E-20
         9   1  5.079114E-04 -1.930057E-04 -1.930066E-04  4.031965E-10 -2.348557E-11 -6.076288E-20
         9   2  5.079114E-04 -1.930061E-04 -1.930065E-04  4.031965E-10 -2.348557E-11 -1.132688E-20
         9   3  5.079114E-04 -1.930057E-04 -1.930066E-04 -4.031965E-10 -2.348557E-11  2.794669E-20
         9   4  5.079114E-04 -1.930061E-04 -1.930065E-04 -4.031965E-10 -2.348557E-11  6.573824E-20
         9   5  5.079114E-04 -1.930057E-04 -1.930066E-04  4.031965E-10  2.348557E-11 -4.911843E-20
         9   6  5.079114E-04 -1.930061E-04 -1.930065E-04  4.031965E-10  2.348557E-11  5.017701E-20
         9   7  5.079114E-04 -1.930057E-04 -1.930066E-04 -4.031965E-10  2.348557E-11  2.625295E-20
         9   8  5.079114E-04 -1.930061E-04 -1.930065E-04 -4.031965E-10  2.348557E-11  1.035298E-19
        10   1  5.079116E-04 -1.930063E-04 -1.930065E-04  8.619252E-11 -5.936089E-12 -2.328891E-21
        10   2  5.079116E-04 -1.930063E-04 -1.930064E-04  8.619252E-11 -5.936089E-12 -8.055846E-20
        10   3  5.079116E-04 -1.930063E-04 -1.930065E-04 -8.619252E-11 -5.936089E-12  6.563238E-20
        10   4  5.079116E-04 -1.930063E-04 -1.930064E-04 -8.619252E-11 -5.936088E-12 -2.646467E-22
        10   5  5.079116E-04 -1.930063E-04 -1.930065E-04  8.619252E-11  5.936089E-12 -8.468694E-22
        10   6  5.079116E-04 -1.930063E-04 -1.930064E-04  8.619252E-11  5.936089E-12 -8.447523E-20
        10   7  5.079116E-04 -1.930063E-04 -1.930065E-04 -8.619252E-11  5.936088E-12  8.722755E-20
        10   8  5.079116E-04 -1.930063E-04 -1.930064E-04 -8.619252E-11  5.936089E-12 -1.482021E-21
        11   1  5.079116E-04 -1.930064E-04 -1.930064E-04  1.832368E-11 -1.143646E-12 -3.323963E-20
        11   2  5.079116E-04 -1.930064E-04 -1.930064E-04  1.832368E-11 -1.143646E-12  1.916042E-20
        11   3  5.079116E-04 -1.930064E-04 -1.930064E-04 -1.832368E-11 -1.143646E-12 -3.302791E-20
        11   4  5.079116E-04 -1.930064E-04 -1.930064E-04 -1.832368E-11 -1.143645E-12 -5.610510E-21
        11   5  5.079116E-04 -1.930064E-04 -1.930064E-04  1.832368E-11  1.143646E-12 -5.758712E-20
        11   6  5.079116E-04 -1.930064E-04 -1.930064E-04  1.832368E-11  1.143646E-12  2.032487E-20
        11   7  5.079116E-04 -1.930064E-04 -1.930064E-04 -1.832368E-11  1.143646E-12 -2.371234E-20
        11   8  5.079116E-04 -1.930064E-04 -1.930064E-04 -1.832368E-11  1.143646E-12 -3.810913E-21
        12   1  5.079116E-04 -1.930064E-04 -1.930064E-04  3.908604E-12 -2.593238E-13  5.081217E-20
        12   2  5.079116E-04 -1.930064E-04 -1.930064E-04  3.908605E-12 -2.593226E-13 -6.753784E-20
        12   3  5.079116E-04 -1.930064E-04 -1.930064E-04 -3.908605E-12 -2.593241E-13 -1.016243E-20
        12   4  5.079116E-04 -1.930064E-04 -1.930064E-04 -3.908605E-12 -2.593233E-13 -1.736082E-20
        12   5  5.079116E-04 -1.930064E-04 -1.930064E-04  3.908605E-12  2.593239E-13  3.726226E-20
        12   6  5.079116E-04 -1.930064E-04 -1.930064E-04  3.908605E-12  2.593237E-13 -5.822227E-20
        12   7  5.079116E-04 -1.930064E-04 -1.930064E-04 -3.908604E-12  2.593228E-13 -1.609052E-20
        12   8  5.079116E-04 -1.930064E-04 -1.930064E-04 -3.908604E-12  2.593234E-13 -5.949258E-20
