
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.901255E+00 -1.441276E-11 -7.206241E-11
        66  1.901255E+00  1.441279E-11 -7.206391E-11
        67  1.901255E+00  1.441263E-11  7.206423E-11
        68  1.901255E+00 -1.441268E-11  7.206204E-11

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-02  4.561117E-04  9.122234E-05
        66  1.000000E-02 -4.561117E-04  9.122234E-05
        67  1.000000E-02 -4.561117E-04 -9.122234E-05
        68  1.000000E-02  4.561117E-04 -9.122234E-05

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

         1   7  4.058985E-04 -2.945978E-05 -4.895382E-05 -8.048442E-05 -2.674821E-05 -1.439932E-20
         1   8  4.058985E-04 -1.099410E-04 -1.826859E-04 -8.047794E-05 -2.674463E-05 -4.658422E-20
         2   1  5.053664E-04 -1.466732E-04 -2.207108E-04  1.987759E-05 -5.966839E-06  2.243816E-20
         2   2  5.053664E-04 -1.665506E-04 -1.908761E-04  1.987720E-05 -5.967017E-06  3.291989E-20
         2   3  5.053664E-04 -1.466732E-04 -2.207108E-04 -1.987759E-05 -5.966839E-06 -5.463060E-20
         2   4  5.053664E-04 -1.665506E-04 -1.908761E-04 -1.987720E-05 -5.967017E-06 -3.229076E-20
         2   5  5.053664E-04 -1.466732E-04 -2.207108E-04  1.987759E-05  5.966839E-06  1.947420E-20
         2   6  5.053664E-04 -1.665506E-04 -1.908761E-04  1.987720E-05  5.967017E-06  1.058334E-20
         2   7  5.053664E-04 -1.466732E-04 -2.207108E-04 -1.987759E-05  5.966839E-06 -5.928825E-20
         2   8  5.053664E-04 -1.665506E-04 -1.908761E-04 -1.987720E-05  5.967017E-06 -5.335701E-20
         3   1  5.034785E-04 -1.752369E-04 -1.807707E-04  3.854260E-06  4.453395E-07  5.187071E-20
         3   2  5.034785E-04 -1.790912E-04 -1.829974E-04  3.854245E-06  4.453386E-07  6.515594E-20
         3   3  5.034785E-04 -1.752369E-04 -1.807707E-04 -3.854260E-06  4.453395E-07 -1.609177E-20
         3   4  5.034785E-04 -1.790912E-04 -1.829974E-04 -3.854245E-06  4.453386E-07 -1.789136E-20
         3   5  5.034785E-04 -1.752369E-04 -1.807707E-04  3.854260E-06 -4.453395E-07  4.657775E-20
         3   6  5.034785E-04 -1.790912E-04 -1.829974E-04  3.854245E-06 -4.453386E-07  4.911821E-20
         3   7  5.034785E-04 -1.752369E-04 -1.807707E-04 -3.854260E-06 -4.453395E-07 -5.589527E-20
         3   8  5.034785E-04 -1.790912E-04 -1.829974E-04 -3.854245E-06 -4.453386E-07 -4.742625E-20
         4   1  5.064841E-04 -1.808247E-04 -1.835229E-04  8.818214E-07 -1.582162E-07  4.509562E-20
         4   2  5.064841E-04 -1.817065E-04 -1.827318E-04  8.818206E-07 -1.582163E-07  4.604881E-20
         4   3  5.064841E-04 -1.808247E-04 -1.835229E-04 -8.818214E-07 -1.582162E-07 -2.942980E-20
         4   4  5.064841E-04 -1.817065E-04 -1.827318E-04 -8.818206E-07 -1.582163E-07 -2.276011E-20
         4   5  5.064841E-04 -1.808247E-04 -1.835229E-04  8.818214E-07  1.582162E-07  5.335277E-20
         4   6  5.064841E-04 -1.817065E-04 -1.827318E-04  8.818206E-07  1.582163E-07  3.916794E-20
         4   7  5.064841E-04 -1.808247E-04 -1.835229E-04 -8.818214E-07  1.582162E-07 -2.794769E-20
         4   8  5.064841E-04 -1.817065E-04 -1.827318E-04 -8.818206E-07  1.582163E-07 -2.667691E-20
         5   1  5.066244E-04 -1.820951E-04 -1.824486E-04  1.799240E-07  3.502000E-09  6.245724E-20
         5   2  5.066244E-04 -1.822751E-04 -1.824661E-04  1.799239E-07  3.502000E-09  3.186379E-20
         5   3  5.066244E-04 -1.820951E-04 -1.824486E-04 -1.799240E-07  3.502000E-09 -5.293057E-21
         5   4  5.066244E-04 -1.822751E-04 -1.824661E-04 -1.799239E-07  3.502000E-09  8.468770E-21
         5   5  5.066244E-04 -1.820951E-04 -1.824486E-04  1.799240E-07 -3.502000E-09  4.827203E-20
         5   6  5.066244E-04 -1.822751E-04 -1.824661E-04  1.799239E-07 -3.502000E-09  6.351576E-21
         5   7  5.066244E-04 -1.820951E-04 -1.824486E-04 -1.799240E-07 -3.502000E-09 -2.625330E-20
         5   8  5.066244E-04 -1.822751E-04 -1.824661E-04 -1.799239E-07 -3.502000E-09 -2.540637E-20
         6   1  5.067284E-04 -1.823554E-04 -1.824639E-04  3.971432E-08 -4.747246E-09  5.843462E-20
         6   2  5.067284E-04 -1.823952E-04 -1.824401E-04  3.971432E-08 -4.747246E-09  3.832126E-20
         6   3  5.067284E-04 -1.823554E-04 -1.824639E-04 -3.971432E-08 -4.747246E-09  2.540636E-20
         6   4  5.067284E-04 -1.823952E-04 -1.824401E-04 -3.971432E-08 -4.747246E-09  1.699051E-20
         6   5  5.067284E-04 -1.823554E-04 -1.824639E-04  3.971432E-08  4.747246E-09  1.778445E-20
         6   6  5.067284E-04 -1.823952E-04 -1.824401E-04  3.971432E-08  4.747246E-09  4.996584E-20
         6   7  5.067284E-04 -1.823554E-04 -1.824639E-04 -3.971432E-08  4.747246E-09  3.810954E-20
         6   8  5.067284E-04 -1.823952E-04 -1.824401E-04 -3.971432E-08  4.747246E-09  2.646496E-20
         7   1  5.067397E-04 -1.824127E-04 -1.824311E-04  8.302785E-09 -2.052859E-10  4.361425E-20
         7   2  5.067397E-04 -1.824210E-04 -1.824300E-04  8.302785E-09 -2.052859E-10 -1.963699E-20
         7   3  5.067397E-04 -1.824127E-04 -1.824311E-04 -8.302785E-09 -2.052859E-10  2.244229E-20
         7   4  5.067397E-04 -1.824210E-04 -1.824300E-04 -8.302785E-09 -2.052859E-10 -7.394307E-20
