
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.332644E-01 -3.822300E-08 -1.911147E-07
        66  1.332644E-01  3.822300E-08 -1.911148E-07
        67  1.332644E-01  3.822300E-08  1.911148E-07
        68  1.332644E-01 -3.822300E-08  1.911147E-07

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-01  6.583864E-03  1.316775E-03
        66  1.000000E-01 -6.583864E-03  1.316775E-03
        67  1.000000E-01 -6.583864E-03 -1.316775E-03
        68  1.000000E-01  6.583864E-03 -1.316775E-03

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

         6   5  5.356830E-03 -2.587121E-03 -2.605757E-03  1.603007E-05 -1.816463E-06  1.098846E-16
         6   6  5.356830E-03 -2.603151E-03 -2.614839E-03  1.602982E-05 -1.816446E-06  4.021370E-17
         6   7  5.356830E-03 -2.587121E-03 -2.605757E-03 -1.603007E-05 -1.816463E-06 -5.739343E-17
         6   8  5.356830E-03 -2.603151E-03 -2.614839E-03 -1.602982E-05 -1.816446E-06 -2.008316E-17
         7   1  5.387229E-03 -2.611550E-03 -2.619597E-03  6.916793E-06  7.830001E-07  4.553010E-17
         7   2  5.387229E-03 -2.618467E-03 -2.623511E-03  6.916745E-06  7.829970E-07  7.661587E-17
         7   3  5.387229E-03 -2.611550E-03 -2.619597E-03 -6.916793E-06  7.830001E-07 -7.524101E-19
         7   4  5.387229E-03 -2.618467E-03 -2.623511E-03 -6.916745E-06  7.829970E-07 -4.093214E-17
         7   5  5.387229E-03 -2.611550E-03 -2.619597E-03  6.916793E-06 -7.830001E-07  2.974565E-17
         7   6  5.387229E-03 -2.618467E-03 -2.623511E-03  6.916745E-06 -7.829970E-07  7.210121E-17
         7   7  5.387229E-03 -2.611550E-03 -2.619597E-03 -6.916793E-06 -7.830001E-07 -1.686127E-17
         7   8  5.387229E-03 -2.618467E-03 -2.623511E-03 -6.916745E-06 -7.829970E-07 -4.514857E-17
         8   1  5.400342E-03 -2.622091E-03 -2.625562E-03  2.983846E-06  3.376899E-07  6.987131E-17
         8   2  5.400342E-03 -2.625075E-03 -2.627251E-03  2.983837E-06  3.376893E-07  2.085189E-17
         8   3  5.400342E-03 -2.622091E-03 -2.625562E-03 -2.983846E-06  3.376899E-07 -3.911582E-17
         8   4  5.400342E-03 -2.625075E-03 -2.627251E-03 -2.983837E-06  3.376893E-07  6.911735E-18
         8   5  5.400342E-03 -2.622091E-03 -2.625562E-03  2.983846E-06 -3.376899E-07  7.129396E-17
         8   6  5.400342E-03 -2.625075E-03 -2.627251E-03  2.983837E-06 -3.376893E-07  2.548057E-17
         8   7  5.400342E-03 -2.622091E-03 -2.625562E-03 -2.983846E-06 -3.376899E-07 -3.716600E-17
         8   8  5.400342E-03 -2.625075E-03 -2.627251E-03 -2.983837E-06 -3.376893E-07  1.151423E-17
         9   1  5.405999E-03 -2.626638E-03 -2.628136E-03  1.287128E-06  1.456575E-07  1.864758E-18
         9   2  5.405999E-03 -2.627925E-03 -2.628864E-03  1.287126E-06  1.456574E-07  6.043887E-19
         9   3  5.405999E-03 -2.626638E-03 -2.628136E-03 -1.287128E-06  1.456575E-07  2.394121E-17
         9   4  5.405999E-03 -2.627925E-03 -2.628864E-03 -1.287126E-06  1.456574E-07  2.036605E-17
         9   5  5.405999E-03 -2.626638E-03 -2.628136E-03  1.287128E-06 -1.456575E-07  6.470629E-18
         9   6  5.405999E-03 -2.627925E-03 -2.628864E-03  1.287126E-06 -1.456574E-07  4.563982E-18
         9   7  5.405999E-03 -2.626638E-03 -2.628136E-03 -1.287128E-06 -1.456575E-07  2.820578E-17
