material_id,polymer,form,case_id,bulk_density_kg_m3,aspect_ratio,wall_friction,inter_particle_friction,throat_fill,agitator_rpm,auger_rpm,screen_discharge_variability,bridge_index,bridge_clear_cycles,mass_per_rev_g,unobstructed_feed_g_h,effective_feed_g_h,estimated_torque_nm,estimated_current_a
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_03,260,9.0,0.29,0.34,0.64,8.0,20.0,0.05,0.2665714285714286,1,0.34090813584515645,409.0897630141877,389.4604673568727,0.94,2.0488
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_04,150,4.5,0.43,0.34,0.48,8.0,4.0,0.4,0.4525714285714286,2,0.15811350191913368,37.947240460592084,34.85594983198522,0.8780000000000001,1.9545600000000003
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_05,260,4.5,0.43,0.34,0.48,8.0,20.0,0.4,0.4525714285714286,2,0.27406340332649837,328.87608399179805,302.08489854387193,1.07,2.2464
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_06,150,9.0,0.43,0.34,0.64,8.0,4.0,0.4,0.5025714285714286,2,0.1619699287952101,38.872782910850425,35.35623990364086,1.278,2.56256
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_07,260,9.0,0.43,0.34,0.64,8.0,20.0,0.4,0.5025714285714286,2,0.28074787657836414,336.897451894037,306.4207458315541,1.47,2.8544
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_08,150,4.5,0.29,0.51,0.48,8.0,4.0,0.05,0.40657142857142864,2,0.16775456910932474,40.26109658623794,37.31467450635252,0.798,1.83296
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_09,260,4.5,0.29,0.51,0.48,8.0,20.0,0.05,0.40657142857142864,2,0.2907745864561629,348.9295037473955,323.3938457217218,0.99,2.1248
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_10,150,9.0,0.29,0.51,0.64,8.0,4.0,0.05,0.45657142857142863,2,0.1716109959854012,41.18663903649629,37.80180336436549,1.198,2.44096
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_11,260,9.0,0.29,0.51,0.64,8.0,20.0,0.05,0.45657142857142863,2,0.2974590597080287,356.95087164963445,327.61562915783423,1.39,2.7328
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_12,150,4.5,0.43,0.51,0.48,8.0,4.0,0.4,0.6425714285714287,3,0.13304672722463687,31.931214533912847,28.23795902887896,1.328,2.63856
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_13,260,4.5,0.43,0.51,0.48,8.0,20.0,0.4,0.6425714285714287,3,0.23061432718937058,276.7371926272447,244.72897825028437,1.52,2.9304
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_14,150,9.0,0.43,0.51,0.64,8.0,4.0,0.4,0.6925714285714285,3,0.1369031541007133,32.85675698417119,28.760739782075884,1.728,3.24656
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_15,260,9.0,0.43,0.51,0.64,8.0,20.0,0.4,0.6925714285714285,3,0.23729880044123636,284.75856052948365,249.259744777991,1.92,3.5384
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_16,150,4.5,0.29,0.34,0.48,20.0,4.0,0.05,0.028000000000000025,1,0.19282134380382154,46.277122512917174,46.04388581545207,0.348,1.14896
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_17,260,4.5,0.29,0.34,0.48,20.0,20.0,0.05,0.028000000000000025,1,0.33422366259329067,401.0683951119488,399.04701040058455,0.54,1.4408
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_18,150,9.0,0.29,0.34,0.64,20.0,4.0,0.05,0.07800000000000004,1,0.19667777067989797,47.202664963175515,46.53993954709253,0.748,1.7569599999999999
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_19,260,9.0,0.29,0.34,0.64,20.0,20.0,0.05,0.07800000000000004,1,0.34090813584515645,409.0897630141877,403.3461427414685,0.94,2.0488
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_20,150,4.5,0.43,0.34,0.48,20.0,4.0,0.4,0.264,1,0.15811350191913368,37.947240460592084,36.14398759390475,0.8780000000000001,1.9545600000000003
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_21,260,4.5,0.43,0.34,0.48,20.0,20.0,0.4,0.264,1,0.27406340332649837,328.87608399179805,313.2478924805078,1.07,2.2464
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_22,150,9.0,0.43,0.34,0.64,20.0,4.0,0.4,0.31400000000000006,2,0.1619699287952101,38.872782910850425,36.67569322072916,1.278,2.56256
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_23,260,9.0,0.43,0.34,0.64,20.0,20.0,0.4,0.31400000000000006,2,0.28074787657836414,336.897451894037,317.856007912986,1.47,2.8544
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_24,150,4.5,0.29,0.51,0.48,20.0,4.0,0.05,0.21800000000000005,1,0.16775456910932474,40.26109658623794,38.68125115619396,0.798,1.83296
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_25,260,4.5,0.29,0.51,0.48,20.0,20.0,0.05,0.21800000000000005,1,0.2907745864561629,348.9295037473955,335.23751002034766,0.99,2.1248
