t_s,M1_A,M2_A,heater100a,heater100b,heater100c,heater60,admitted_W
146,6.601957042680768,1.8,0,0,1,1,409.48696902433846
147,6.394890783579625,1.8,0,1,1,0,444.517378805911
148,6.259788532585628,1.8,1,1,0,0,441.2749247820551
149,6.2020363901061,1.8,1,1,0,1,499.8888733625464
150,6.223936751814276,1.8,0,0,1,1,400.41448204354265
151,6.32461651939944,1.8,0,1,1,0,442.83079646558656
152,6.500061908241347,1.8,1,1,0,0,447.04148579779235
153,6.743278464336813,1.8,1,0,0,1,412.87868314408354
154,7.044569911108535,1.8,0,0,1,1,420.1096778666049
155,7.391924709353869,1.8,0,1,1,0,468.4461930244929
156,7.771494919408231,1.8,1,1,0,0,477.5558780657975
157,8.168148274799803,1.8,1,0,0,1,447.0755585951953
158,8.566071457961176,1.8,0,0,1,1,456.6257149910682
159,8.949400527298923,1.8,0,1,0,1,465.82561265517415
160,9.302853362483381,1.8,1,0,0,1,474.3084806996012
161,9.612338914360668,1.8,1,0,0,1,481.7361339446561
162,9.86551897061556,1.8,0,0,1,1,487.8124552947735
163,10.052300041361056,1.8,0,1,0,1,492.2952009926654
164,10.16523575472828,1.8,1,0,0,1,495.0056581134787
165,10.199823720214534,1.8,1,0,0,1,495.8357692851488
166,10.154685024784516,1.8,0,0,1,1,494.7524405948284
167,10.031619205781638,1.8,0,1,0,1,491.7988609387594
168,9.835532509052882,1.8,1,0,0,1,487.09278021726925
169,9.574242292409478,1.8,1,0,0,1,480.8218150178275
170,9.258165372240047,1.8,0,0,1,1,473.2359689337611
171,8.899902737913324,1.8,0,1,0,1,464.6376657099198
172,8.513737190096819,1.8,1,1,0,0,495.3696925623237
173,8.115063930566096,1.8,1,0,0,1,445.80153433358635
174,7.719776804092437,1.8,0,0,1,1,436.31464329821847
175,7.343634661007697,1.8,0,1,1,0,467.2872318641847
176,7.001633101571469,1.8,1,1,0,0,459.0791944377153
177,6.707406648710167,1.8,1,0,0,1,412.0177595690441
178,6.472685182614088,1.8,0,0,1,1,406.38444438273814
