object_id,category,container_type,expected_solids,solid_count,volume_mm3,bbox_x_mm,bbox_y_mm,bbox_z_mm,status,errors
FrameY910_0,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,264000.0,20.0,660.0,20.0,PASS,
FrameY910_450,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,264000.0,20.0,660.0,20.0,PASS,
FrameTierY320_0,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,264000.0,20.0,660.0,20.0,PASS,
FrameTierY320_450,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,264000.0,20.0,660.0,20.0,PASS,
MidRail320,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,172000.0,430.0,20.0,20.0,PASS,
FrameTierY500_0,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,528000.0,20.0,660.0,40.0,PASS,
FrameTierY500_450,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,528000.0,20.0,660.0,40.0,PASS,
MidRail500,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,172000.0,430.0,20.0,20.0,PASS,
FrameBottomCross275,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,172000.0,430.0,20.0,20.0,PASS,
FrameBottomCross405,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,172000.0,430.0,20.0,20.0,PASS,
FrameBottomCross440,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,172000.0,430.0,20.0,20.0,PASS,
FrameBottomCross608,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,172000.0,430.0,20.0,20.0,PASS,
FrameSpoolColumnFront,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,120000.0,20.0,20.0,300.0,PASS,
FrameSpoolColumnRear,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,120000.0,20.0,20.0,300.0,PASS,
FrameSpoolTopRail,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,127200.0,20.0,318.0,20.0,PASS,
FrameTraversePostLeft,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,112000.0,20.0,20.0,280.0,PASS,
FrameTraversePostRight,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,112000.0,20.0,20.0,280.0,PASS,
MetalHopper,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,350155.867,200.0,200.0,210.0,PASS,
PPR-C01_SlidingLid,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,83130.533,195.0,195.0,8.0,PASS,
PPR-C02_AntiReach,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,199557.612,190.0,120.0,90.0,PASS,
CutterPlateFront,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,188962.1,150.0,12.0,125.0,PASS,
CutterPlateRear,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,188962.1,150.0,12.0,125.0,PASS,
Shaft105,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,71682.047,20.0,240.0,20.0,PASS,
Hook105_0,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,8684.368,57.56,6.0,56.692,PASS,
Hook105_1,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,8684.368,57.56,6.0,56.692,PASS,
Hook105_2,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,8684.368,57.56,6.0,56.692,PASS,
Hook105_3,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,8684.368,57.56,6.0,56.692,PASS,
Hook105_4,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,8684.368,57.56,6.0,56.692,PASS,
Hook105_5,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,8684.368,57.56,6.0,56.692,PASS,
Bearing105_315,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,12779.622,42.0,12.0,42.0,PASS,
Bearing105_455,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,12779.622,42.0,12.0,42.0,PASS,
Shaft153,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,71682.047,20.0,240.0,20.0,PASS,
Hook153_0,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,8684.368,57.56,6.0,56.692,PASS,
Hook153_1,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,8684.368,57.56,6.0,56.692,PASS,
Hook153_2,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,8684.368,57.56,6.0,56.692,PASS,
Hook153_3,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,8684.368,57.56,6.0,56.692,PASS,
Hook153_4,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,8684.368,57.56,6.0,56.692,PASS,
Hook153_5,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,8684.368,57.56,6.0,56.692,PASS,
Bearing153_315,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,12779.622,42.0,12.0,42.0,PASS,
Bearing153_455,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,12779.622,42.0,12.0,42.0,PASS,
M6Fastener70_550,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,4636.991,6.0,164.0,6.0,PASS,
M6Fastener70_645,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,4636.991,6.0,164.0,6.0,PASS,
M6Fastener190_550,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,4636.991,6.0,164.0,6.0,PASS,
M6Fastener190_645,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,4636.991,6.0,164.0,6.0,PASS,
Screen,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,48600.0,135.0,120.0,3.0,PASS,
PPR-C04_ScreenHandle,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,32049.668,100.0,25.0,20.0,PASS,
PhaseGear105,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,25732.059,53.996,18.0,53.996,PASS,
PhaseGear153,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,25732.059,53.316,18.0,53.316,PASS,
CutterSprocket30T,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,72478.689,96.839,12.0,96.687,PASS,
MotorSprocket12T,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,8786.025,41.763,10.0,41.763,PASS,
ChainTightSide,ASSEMBLY_PURCHASED_REFERENCE_LOD,Solid,1,1,2880.0,4.0,8.0,90.0,PASS,
ChainSlackSide,ASSEMBLY_PURCHASED_REFERENCE_LOD,Solid,1,1,2880.0,4.0,8.0,90.0,PASS,
DriveGuard,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,61102.142,165.0,48.0,190.0,PASS,
DriveMotorGMP60Reference,ASSEMBLY_PURCHASED_REFERENCE_ENVELOPE,Solid,1,1,538182.271,60.5,211.8,60.5,PASS,
DriveAdapterGMP60,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,31518.208,80.0,6.0,80.0,PASS,
MotorMountPlate,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,114815.822,180.0,6.0,140.0,PASS,
BearingRetainerFront,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,6898.597,108.0,2.0,60.0,PASS,
BearingRetainerRear,ASSEMBLY_MANUFACTURED_OR_STOCK,Compound,1,1,6898.597,108.0,2.0,60.0,PASS,
FlakeBin,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,113640.6,185.0,175.0,115.0,PASS,
PPR-C03_FlakeCorner0,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,18273.283,25.0,25.0,100.0,PASS,
PPR-C03_FlakeCorner1,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,18273.283,25.0,25.0,100.0,PASS,
PPR-C03_FlakeCorner2,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,18273.283,25.0,25.0,100.0,PASS,
PPR-C03_FlakeCorner3,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,18273.283,25.0,25.0,100.0,PASS,
SealedFeedHopper,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,243597.774,156.0,156.001,200.0,PASS,
HopperPTCSpreader,ASSEMBLY_MANUFACTURED_OR_STOCK,Solid,1,1,19609.148,120.0,3.0,55.0,PASS,
